Bridge_ID,State_Code,Year_Built,Daily_Traffic_Count,Material_Type,Design_Code,Deck_Condition,Superstructure_Condition,Substructure_Condition,Decade_Built,Average_Condition_Score,Maintenance_Urgency,Infrastructure_Generation
000000006750830,13,1872,5170,Steel,Stringer/Multi-beam or Girder,7.0,7.0,6.0,1870,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000022150130,13,1885,490,Wood or Timber,Truss - Thru,6.0,5.0,6.0,1880,5.67,Routine Monitoring,1. Pre-1960 Historic
000000008950810,13,1891,2202,Steel,Stringer/Multi-beam or Girder,5.0,7.0,7.0,1890,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000021950170,13,1897,50,Wood or Timber,Truss - Thru,5.0,6.0,7.0,1890,6.0,Routine Monitoring,1. Pre-1960 Historic
000000032100460,13,1900,780,Concrete,Culvert,6.0,6.0,6.0,1900,6.0,Routine Monitoring,1. Pre-1960 Historic
000000013500260,13,1902,24500,Steel,Stringer/Multi-beam or Girder,7.0,6.0,6.0,1900,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000012100470,13,1905,19420,Concrete,Frame,5.0,5.0,5.0,1900,5.0,Routine Monitoring,1. Pre-1960 Historic
000000012100820,13,1906,13060,Concrete,Slab,6.0,6.0,6.0,1900,6.0,Routine Monitoring,1. Pre-1960 Historic
000000012106740,13,1906,15770,Concrete,Frame,5.0,5.0,5.0,1900,5.0,Routine Monitoring,1. Pre-1960 Historic
000000023350570,13,1910,490,Concrete,Culvert,6.0,5.0,6.0,1910,5.67,Routine Monitoring,1. Pre-1960 Historic
000000021300330,13,1910,3230,Concrete,Arch - Deck,7.0,4.0,5.0,1910,5.33,Routine Monitoring,1. Pre-1960 Historic
000000021501270,13,1910,4170,Concrete,Arch - Deck,7.0,6.0,6.0,1910,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000021300450,13,1911,490,Concrete,Arch - Deck,7.0,5.0,5.0,1910,5.67,Routine Monitoring,1. Pre-1960 Historic
000000021501290,13,1911,5290,Steel,Stringer/Multi-beam or Girder,7.0,6.0,6.0,1910,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000026100400,13,1911,9870,Concrete Continuous,Slab,5.0,5.0,7.0,1910,5.67,Routine Monitoring,1. Pre-1960 Historic
000000012104360,13,1911,9260,Concrete Continuous,Tee Beam,5.0,7.0,7.0,1910,6.33,Stable / Acceptable Health,1. Pre-1960 Historic
000000012103560,13,1912,2230,Concrete,Arch - Deck,7.0,7.0,6.0,1910,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000022750300,13,1912,490,Wood or Timber,Truss - Thru,6.0,6.0,6.0,1910,6.0,Routine Monitoring,1. Pre-1960 Historic
0000000000M9364,13,1914,2,Concrete,Tee Beam,6.0,5.0,6.0,1910,5.67,Routine Monitoring,1. Pre-1960 Historic
000000024500740,13,1914,12710,Concrete,Tee Beam,7.0,6.0,7.0,1910,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000012100280,13,1914,40210,Concrete Continuous,Tee Beam,5.0,5.0,5.0,1910,5.0,Routine Monitoring,1. Pre-1960 Historic
0000000000M9354,13,1914,100,Concrete,Tee Beam,5.0,6.0,5.0,1910,5.33,Routine Monitoring,1. Pre-1960 Historic
000000021700140,13,1914,13240,Concrete,Arch - Deck,7.0,6.0,7.0,1910,6.67,Stable / Acceptable Health,1. Pre-1960 Historic
000000025500010,13,1914,12100,Concrete,Culvert,6.0,5.0,6.0,1910,5.67,Routine Monitoring,1. Pre-1960 Historic
000000011500870,13,1915,13060,Concrete,Arch - Deck,5.0,5.0,5.0,1910,5.0,Routine Monitoring,1. Pre-1960 Historic
